AppId,GenreId
1042,10
1043,10
1044,8
1045,19
1046,21
1047,28
1048,8
1049,9
1050,12
1051,12
1052,6
1053,41
1054,9
1055,9
1056,21
1057,19
1058,23
1059,40
1060,27
1061,27
1062,27
1063,1
1064,3
1065,18
1066,33
1067,33
1068,12
1068,6
1069,29
1070,0
1071,19
1072,33
1073,3
1074,30
1075,15
1076,36
1077,1
1078,19
1079,6
1080,27
1081,26
1082,13
1083,9
1084,1
1085,9
1086,13
1086,49
1087,29
1087,49
1088,19
1089,31
1090,1
1091,6
1092,26
1093,9
1094,12
1095,12
1095,51
1096,41
1097,0
1098,8
1099,18
1100,41
1101,9
1102,26
1103,19
1104,36
1105,8
1106,7
1107,15
1108,27
1109,41
1110,52
1110,29
1111,48
1111,46
1112,30
1113,29
1114,18
1115,29
1116,8
1117,33
1118,9
1119,18
1120,23
1121,1
1122,8
1123,34
1124,41
1124,49
1125,34
1126,33
1127,1
1128,28
1129,31
1130,27
1131,11
1132,16
1133,23
1134,28
1135,30
1136,37
1137,16
1138,28
1139,28
1140,0
1141,28
1142,30
1143,36
1144,0
1145,18
1146,9
1147,0
1148,0
1149,45
1150,0
1151,33
1152,24
1152,6
1153,6
1154,33
1155,24
1155,50
1156,6
1156,51
1157,51
1157,6
1158,24
1158,51
1159,50
1159,6
1160,33
1161,27
1162,33
1163,33
1164,33
1165,33
1166,26
1167,31
1168,33
1169,33
1170,32
1171,32
1172,1
1173,15
1174,8
1175,18
1176,26
1177,3
1178,6
1179,3
1180,2
1181,33
1182,33
1183,2
1184,19
1185,23
1186,35
1187,17
1188,17
1189,17
1190,25
1191,33
1192,49
1192,43
1193,30
1194,26
1195,28
1196,34
1197,0
1198,12
1199,36
1200,8
1201,29
1201,49
1202,49
1202,41
1203,49
1203,29
1204,33
1205,1
1206,23
1207,23
1208,23
1209,23
1210,23
1211,3
1212,23
1213,23
1214,23
1215,23
1216,23
1217,23
1218,32
1219,23
1220,23
1221,23
1222,23
1223,23
1224,23
1225,23
1226,43
1227,29
1228,20
1229,11
1230,1
1231,23
1232,19
1233,0
1234,23
1235,39
1236,19
1237,11
1238,1
1239,29
1240,21
1241,22
1242,22
1243,16
1244,16
1245,18
1246,45
1247,18
1248,0
1249,13
1250,13
1251,13
1252,21
1253,5
1254,2
1255,12
1256,28
1257,36
1258,25
1259,19
1260,12
1261,12
1262,29
1263,3
1264,7
1265,28
1266,30
1267,16
1268,40
1269,7
1270,3
1271,48
1271,0
1272,0
1273,2
1274,18
1275,33
1276,12
1277,16
1278,13
1279,16
1280,31
1281,28
1282,52
1282,13
1283,30
1284,11
1285,3
1286,16
1287,18
1287,49
1288,18
1289,18
1290,18
1291,12
1292,18
1293,43
1294,27
1295,21
1296,16
1297,7
1298,7
1299,15
1300,27
1301,6
1302,36
1303,3
1304,36
1305,0
1306,31
1307,32
1308,21
1309,11
1310,36
1311,3
1312,28
1313,0
1314,0
1315,0
1316,36
1317,36
1318,12
1319,0
1320,45
1321,28
1322,38
1323,6
1324,14
1325,2
1326,14
1327,2
1328,8
1329,2
1330,2
1331,38
1332,42
1333,42
1334,42
1335,38
1336,38
1337,38
1338,1
1339,20
1340,30
1341,1
1342,6
1343,8
1344,14
1345,12
1346,1
1347,28
1348,28
1349,28
1350,28
1351,28
1352,11
1353,4
1354,16
1355,18
1356,21
1357,3
1358,0
1359,28
1360,28
1361,2
1362,8
1363,26
1364,26
1365,49
1365,15
1366,31
1367,49
1367,18
1368,42
1369,28
1370,24
1370,6
1371,36
1372,23
1373,19
1374,19
1375,0
1376,3
1377,6
1378,6
1379,26
1380,3
1381,11
1382,14
1383,0
1384,20
1385,3
1386,1
1387,11
1388,26
1389,5
1390,2
1391,5
1392,29
1393,33
1394,21
1395,2
1396,1
1397,19
1398,40
1399,29
1400,8
1401,18
1402,0
1403,29
1404,29
1405,0
1406,26
1407,29
1408,0
1409,0
1410,0
1411,0
1412,3
1412,51
1413,0
1414,8
1415,8
1416,8
1417,20
1418,3
1419,2
1420,3
1421,3
1422,26
1423,0
1424,0
1425,0
1426,0
1427,26
1428,18
1429,15
1430,1
1431,6
1432,51
1432,6
1433,1
1434,19
1435,2
1436,19
1437,32
1438,2
1439,1
1440,7
1441,1
1442,2
1443,3
1444,2
1445,16
1446,33
1447,6
1448,6
1449,43
1449,52
1450,18
1451,6
1452,6
1453,30
1454,30
1455,18
1456,6
1457,25
1458,24
1459,12
1460,32
1461,21
1462,29
1463,19
1464,3
1465,39
1466,19
1467,1
1468,3
1469,17
1470,8
1471,33
1472,1
1473,9
1474,6
1475,33
1476,9
1477,1
1478,33
1479,19
1480,8
1481,16
1482,27
1483,9
1484,28
1485,6
1486,36
1487,36
1487,6
1488,18
1489,45
1490,28
1491,33
1492,2
1493,23
1494,31
1495,29
1495,51
1496,31
1497,34
1498,34
1499,35
1500,34
1501,30
1502,34
1503,34
1504,6
1504,24
1505,6
1505,24
1506,16
1507,26
1508,18
1509,16
1510,16
1511,16
1512,18
1513,18
1514,15
1515,15
1516,12
1517,51
1517,29
1518,1
1519,49
1519,45
1520,7
1521,37
1522,17
1523,29
1523,51
1524,51
1524,29
1525,24
1526,5
1527,14
1528,29
1529,29
1530,13
1531,1
1532,34
1533,32
1534,12
1535,41
1536,18
1537,12
1538,3
1539,21
1539,49
1540,6
1541,32
1542,1
